,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1579,499.00,499.00,299.00,200.00,200.00,299.00,499.00,499.00,455.67,213.33,380.00,499.00,499.00,399.23,421.12,499.00,499.00,499.00,499.00,499.00,499.00,499.00,380.00,180.00,0,0,0,0,0,0,0,0,0,0,0,200.00,400.00,499.00,499.00,499.00,499.00,271.50,299.00,299.00,299.00,299.00,199.60,0
NORTH-1580,0,0,0,0,0,0,0,0,0,0,0,81.00,291.00,420.00,420.00,420.00,420.00,420.00,420.00,420.00,210.00,81.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.22,420.00,420.00,420.00,420.00,420.00,420.00,420.00,420.00,420.00,420.00
NORTH-1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.00,160.00,160.00,160.00,160.00,160.00,160.00
NORTH-1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1566,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1171.25,1179.94,1161.03,1074.13,1073.04,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00
NORTH-1567,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,562.50,625.00,562.50,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00
NORTH-1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1617,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00
NORTH-1618,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00
NORTH-1619,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00,92.00
NORTH-1620,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00
NORTH-1621,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00
NORTH-1622,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00
