,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-9-1,0,11.85,19.75,19.75,19.75,11.85,11.85,19.75,19.75,19.75,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0,19.75,19.75,19.75,19.75,19.75,19.75,0,19.75,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75
NORTH-9-2,0,0,11.85,11.85,11.85,0,19.75,11.85,11.85,11.85,19.75,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,11.85,19.75,0,11.85,11.85,11.85,11.85,11.85,11.85,19.75,11.85,19.75,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,11.85
NORTH-9-3,19.75,0,0,0,0,0,0,0,0,0,0,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0,11.85,19.75,0,0,0,0,0,0,11.85,0,11.85,0,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0
NORTH-9-4,11.85,19.75,0,0,0,19.75,0,0,0,0,11.85,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0,0,11.85,0,0,0,0,0,0,0,0,0,19.75,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0
NORTH-10-1,2.75,2.75,2.75,2.75,2.75,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65,0,0,1.65,2.75,2.75,2.75,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
NORTH-10-2,2.75,2.75,2.75,2.75,2.75,2.75,0,2.75,2.75,2.75,2.75,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,1.65,1.65,2.75,1.65,2.75,2.75,2.75,2.75,1.65,2.75,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
NORTH-10-3,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,0,2.75,0,2.75,0,0,0,0,2.75,2.75,0,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,0
NORTH-10-4,0,0,0,0,0,2.75,2.75,0,0,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,0,0,2.75,0,0,0,0,0,0,0,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,0
NORTH-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-12-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
