Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Total Held as Primary Synch Reserves (MW),Total Held as Primary NonSynch Reserves (MW),Total Held as Primary Reserves (MW),Total Held as Secondary Reserves (MW)
2,32,-0.0,-0.0,-0.0,0.0,32.0,0,5000.00,5000.00,5000.00
2,33,-0.0,-0.0,-0.0,0.0,33.0,0,5000.00,5000.00,5000.00
2,34,-0.0,-0.0,-0.0,0.0,34.0,0,5000.00,5000.00,5000.00
2,35,-0.0,-0.0,-0.0,0.0,35.0,0,5000.00,5000.00,5000.00
2,36,0.0,-0.0,-0.0,0.0,36.0,0,5000.00,5000.00,5000.00
2,37,0.0,-0.0,-0.0,0.0,37.0,0,5000.00,5000.00,5000.00
2,38,0.0,-0.0,-0.0,0.0,38.0,0,5000.00,5000.00,5000.00
2,39,0.0,-0.0,-0.0,0.0,39.0,0,5000.00,5000.00,5000.00
2,40,0.0,-0.0,-0.0,0.0,40.0,0,5000.00,5000.00,5000.00
2,41,0.0,-0.0,-0.0,0.0,41.0,0,5000.00,5000.00,5000.00
2,42,0.0,-0.0,-0.0,0.0,42.0,0,5000.00,5000.00,5000.00
2,43,0.0,-0.0,-0.0,0.0,43.0,0,5000.00,5000.00,5000.00
2,44,0.0,-0.0,-0.0,0.0,44.0,0,5000.00,5000.00,5000.00
2,45,0.0,-0.0,-0.0,0.0,45.0,0,5000.00,5000.00,5000.00
2,46,0.0,-0.0,-0.0,0.0,46.0,0,5000.00,5000.00,5000.00
2,47,0.0,0.0,-0.0,0.0,47.0,0,5000.00,5000.00,5000.00
2,48,-0.0,-0.0,-0.0,0.0,48.0,0,5000.00,5000.00,5000.00
3,1,1.0,0.0,0.0,201.0,0.0,22.00,0,22.00,26.40
3,2,1.0,-0.0,-0.0,202.0,0.0,22.00,0,22.00,26.40
3,3,1.0,-0.0,-0.0,203.0,0.0,22.00,0,22.00,26.40
3,4,1.0,-0.0,-0.0,204.0,0.0,22.00,0,22.00,26.40
3,5,1.0,-0.0,-0.0,205.0,0.0,22.00,0,22.00,26.40
3,6,1.0,-0.0,-0.0,206.0,0.0,22.00,0,22.00,26.40
3,7,1.0,-0.0,-0.0,207.0,0.0,22.00,0,22.00,26.40
