,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-4-4,0,0,0,32.85,0,0,0,0,0,0,0,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,0,0,0,0,0,0,18.85,0,54.75,0,54.75,0,18.51,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75
NORTH-8-1,0,29.00,29.00,29.00,0,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0,29.00,29.00,29.00,29.00,29.00,29.00,0,29.00,18.00,29.00,29.00,0,29.00,29.00,29.00,29.00,29.00,29.00,29.00,17.40,29.00,29.00,29.00,29.00,29.00,29.00,0,29.00,0,0,0,29.00,29.00,29.00,0
NORTH-8-2,29.00,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,17.40,29.00,0,0,0,0,25.27,17.40,0,17.40,0,17.40,17.40,0,17.40,17.40,17.40,17.40,17.40,0,0,0,17.40,17.40,17.40,29.00,22.02,29.00,0,0,0,29.00,29.00,17.40,21.61,17.40,0
NORTH-8-3,17.40,0,0,0,0,0,0,0,0,0,0,0,29.00,0,29.00,29.00,17.40,0,0,29.00,0,0,0,0,29.00,0,0,0,0,0,17.40,0,0,0,0,0,0,0,0,29.00,0,29.00,0,0,0,0,0,0
NORTH-8-4,0,0,0,0,29.00,0,0,0,0,0,0,0,0,29.00,0,0,0,0,0,17.40,0,29.00,0,0,17.40,0,0,0,0,0,0,17.40,29.00,0,0,0,0,0,0,17.40,17.40,29.00,17.40,19.16,0,0,0,0
NORTH-9-1,19.75,0,11.85,19.75,11.85,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,11.85,11.85,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75
NORTH-9-2,11.85,19.75,0,0,0,11.85,11.85,11.85,11.85,11.85,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,11.85,11.85,11.85,11.85,11.85,11.85,0,19.75,11.85,11.85,11.85,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75
NORTH-9-3,0,11.85,0,0,19.75,0,0,0,0,0,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0,0,0,0,0,0,19.75,0,0,0,0,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0
NORTH-9-4,0,0,19.75,11.85,0,0,0,0,0,0,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,0
NORTH-10-1,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
NORTH-10-2,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1.65,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
NORTH-10-3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,0,2.75,2.75,0,2.75,2.75,2.75,2.75,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
NORTH-10-4,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,0,0,1.65,2.75,0,2.75,2.75,2.75,2.75,0,0,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
NORTH-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
