,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1579,213.46,327.78,78.28,285.76,249.50,499.00,414.71,499.00,499.00,499.00,499.00,499.00,249.50,249.50,439.50,249.50,249.50,379.00,249.50,439.50,379.00,249.50,493.60,499.00,499.00,280.11,30.61,0,249.50,332.02,342.02,494.05,339.51,321.89,311.89,249.50,499.00,439.50,359.50,249.50,249.50,299.00,249.50,249.50,379.00,379.00,499.00,439.50
NORTH-1580,420.00,210.00,392.22,182.22,246.62,37.47,210.00,252.93,407.30,210.00,291.00,230.50,339.50,400.00,210.00,259.50,390.99,210.00,339.50,210.00,210.00,351.60,210.00,237.00,101.00,119.89,210.00,208.45,158.95,276.43,66.43,64.89,210.00,210.00,420.00,420.00,291.00,210.00,210.00,210.00,400.00,210.00,339.50,339.50,210.00,210.00,220.00,210.00
NORTH-1582,0,0,0,0,0,0,0,0,0,0,0,0,80.00,80.00,80.00,160.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,64.00,0,0,0,0,0,0,0,0,0,0,0,0,0,80.00,160.00,80.00,80.00,160.00,80.00,80.00,80.00,80.00,160.00,80.00
NORTH-1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1566,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00,1182.00
NORTH-1567,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00
NORTH-1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1617,0,0,0,0,0,0,0,0,0,0,0,0,11.20,14.00,14.00,14.00,11.20,11.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.20,14.00,11.20,11.20,14.00,11.20,11.20,11.20,11.20,0,0
NORTH-1618,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50,8.50,8.50,6.80,6.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80,8.50,6.80,6.80,8.50,6.80,6.80,6.80,6.80,0,0
NORTH-1619,0,0,0,0,0,0,0,0,0,0,0,0,45.81,46.00,46.00,46.00,36.80,36.80,36.80,36.80,36.80,36.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.80,46.00,36.80,36.80,46.00,36.80,36.80,36.80,36.80,0,0
NORTH-1620,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,6.00,4.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,4.80,4.80,6.00,4.80,4.80,4.80,4.80,0,0
NORTH-1621,0,0,0,0,0,0,0,0,0,0,0,0,17.60,22.00,22.00,22.00,17.60,17.60,17.60,17.60,17.60,17.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.60,22.00,17.60,17.60,22.00,17.60,17.60,17.60,17.60,0,0
NORTH-1622,0,0,0,0,0,0,0,0,0,0,0,0,21.00,21.00,21.00,21.00,16.80,16.80,16.80,16.80,16.80,16.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80,21.00,16.80,16.80,21.00,16.80,16.80,16.80,16.80,0,0
NORTH-1623,0,0,0,0,0,0,0,0,0,0,0,60.50,121.00,60.50,60.50,121.00,121.00,121.00,121.00,60.50,121.00,108.90,48.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.50,60.50,60.50,60.50,121.00,121.00,121.00,121.00,121.00,121.00,60.50
NORTH-1624,0,0,0,0,0,0,0,0,0,0,0,0,70.80,88.50,88.50,70.80,70.80,70.80,70.80,70.80,70.80,70.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.80,70.80,70.80,88.50,70.80,0,0,0,0,0
NORTH-1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.00,60.00,48.00,48.00,48.00,48.00,0,0
NORTH-1626,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,60.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,108.00,48.00,0
NORTH-1627,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,312.55,272.50,545.00,545.00,545.00,545.00,545.00,545.00,545.00,545.00,293.00,218.13,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,218.00,272.50,545.00,545.00,545.00,545.00,545.00,545.00,545.00,545.00,545.00,272.50,218.00
NORTH-1628,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,108.00,120.00,120.00,120.00,60.00,60.00,60.00,120.00,120.00,120.00,120.00,60.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,60.00,60.00,120.00,60.00,120.00,120.00,120.00,120.00,120.00,108.00,48.00,0
NORTH-1629,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,270.50,308.62,337.64,455.74,485.50,427.51,479.00,349.50,349.50,349.50,541.00,270.50,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,270.50,390.50,413.03,438.00,270.50,541.00,346.97,289.00,270.50,420.50,254.73,223.36
NORTH-1631,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,60.50,121.00,121.00,60.50,60.50,60.50,60.50,60.50,60.50,60.50,121.00,60.50,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,48.40,108.90,60.50,121.00,60.50,121.00,60.50,121.00,121.00,60.50,60.50,60.50,48.40
NORTH-1633,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,94.00,94.00,47.00,47.00,47.00,47.00,94.00,94.00,47.00,47.00,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,77.78,47.00,47.00,47.00,94.00,47.00,94.00,47.00,94.00,47.00,37.60,0
NORTH-1634,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,94.00,94.00,47.00,47.00,47.00,47.00,47.00,47.00,47.00,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,47.00,47.00,94.00,94.00,84.09,47.00,94.00,79.00,47.00,37.60,0
NORTH-1635,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,94.00,47.00,94.00,47.00,47.00,47.00,47.00,47.00,94.00,94.00,47.00,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,37.60,47.00,47.00,47.00,47.00,79.12,94.00,47.00,47.00,94.00,47.00,37.60,0
NORTH-1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1583,210.00,420.00,383.83,210.00,0,157.99,0,210.00,210.00,210.00,45.69,190.20,400.20,388.63,300.64,210.00,210.00,210.00,210.00,210.00,210.00,168.00,0,0,0,0,0,0,0,0,0,0,0,0,0,21.00,22.04,103.21,206.73,99.92,210.00,210.00,210.00,73.56,210.00,210.00,0,0
SOUTH-1586,458.50,157.72,393.90,458.50,615.35,458.50,652.62,642.62,488.25,495.75,736.12,639.45,488.18,458.50,458.50,406.00,283.31,368.67,318.83,311.26,317.72,362.90,543.40,458.50,458.50,458.50,449.64,458.50,658.50,458.50,658.50,458.50,323.52,458.50,564.54,343.54,458.50,458.50,458.50,458.50,484.49,684.49,484.49,458.50,458.50,458.50,468.50,404.63
SOUTH-1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH-1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
