Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Held as Reserves (MW)
3,13,1.0,-0.0,-0.0,213.0,0.0,0
3,14,1.0,-0.0,-0.0,214.0,0.0,0
3,15,1.0,-0.0,-0.0,215.0,0.0,0
3,16,1.0,-0.0,-0.0,216.0,0.0,0
3,17,1.0,-0.0,-0.0,217.0,0.0,0
3,18,1.0,-0.0,-0.0,218.0,0.0,0
3,19,1.0,-0.0,-0.0,219.0,0.0,0
3,20,1.0,-0.0,-0.0,220.0,0.0,0
3,21,1.0,-0.0,-0.0,221.0,0.0,0
3,22,1.0,-0.0,-0.0,222.0,0.0,0
3,23,1.0,-0.0,-0.0,223.0,0.0,0
3,24,1.0,-0.0,-0.0,224.0,0.0,22.00
3,25,1.0,-0.0,0.0,225.0,0.0,22.00
3,26,1.0,-0.0,-0.0,226.0,0.0,22.00
3,27,1.0,-0.0,-0.0,227.0,0.0,22.00
3,28,1.0,-0.0,-0.0,228.0,0.0,22.00
3,29,1.0,-0.0,-0.0,229.0,0.0,22.00
3,30,1.0,-0.0,-0.0,230.0,0.0,22.00
3,31,1.0,-0.0,-0.0,231.0,0.0,22.00
3,32,1.0,-0.0,-0.0,232.0,0.0,0
3,33,1.0,-0.0,-0.0,233.0,0.0,22.00
3,34,1.0,-0.0,-0.0,234.0,0.0,22.00
3,35,1.0,-0.0,-0.0,235.0,0.0,22.00
3,36,1.0,-0.0,-0.0,236.0,0.0,22.00
3,37,1.0,-0.0,-0.0,237.0,0.0,0
3,38,1.0,-0.0,-0.0,238.0,0.0,0
3,39,1.0,-0.0,-0.0,239.0,0.0,0
3,40,1.0,-0.0,0.0,240.0,0.0,0
3,41,1.0,-0.0,-0.0,241.0,0.0,0
3,42,1.0,-0.0,0.0,242.0,0.0,0
3,43,1.0,-0.0,-0.0,243.0,0.0,0
3,44,1.0,-0.0,-0.0,244.0,0.0,0
3,45,1.0,-0.0,-0.0,245.0,0.0,0
3,46,1.0,-0.0,-0.0,246.0,0.0,0
3,47,1.0,-0.0,-0.0,247.0,0.0,0
3,48,1.0,-0.0,-0.0,248.0,0.0,0
4,1,1.0,0.0,0.0,201.0,0.0,109.50
4,2,1.0,-0.0,-0.0,202.0,0.0,109.50
4,3,1.0,-0.0,-0.0,203.0,0.0,109.50
4,4,1.0,-0.0,-0.0,204.0,0.0,109.50
4,5,1.0,-0.0,-0.0,205.0,0.0,109.50
4,6,1.0,-0.0,-0.0,206.0,0.0,109.50
4,7,1.0,-0.0,-0.0,207.0,0.0,109.50
